Members,Political Affiliation,Political Bloc
Abraham SHEK,PF,E
Alan LEONG,CP,D
Albert CHAN,PP,D
Albert HO,DP,D
Alice MAK,FTU,E
Andrew LEUNG,ES,E
CHAN Chi-chuen,PP,D
CHAN Hak-kan,DAB,E
CHAN Han-pan,DAB,E
CHAN Kam-lam,DAB,E
CHAN Kin-por,IND,E
CHAN Yuen-han,FTU,E
CHEUNG Kwok-che,LAB,D
CHUNG Kwok-pan,LIB,E
Charles Peter MOK,PC,D
Christopher CHEUNG,BPA,E
Christopher CHUNG,DAB,E
Claudia MO,CP,D
Cyd HO,LAB,D
Dennis KWOK,CP,D
Dr CHIANG Lai-wan,DAB,E
Dr Elizabeth QUAT,DAB,E
Dr Fernando CHEUNG,LAB,D
Dr Helena WONG,DP,D
Dr KWOK Ka-ki,CP,D
Dr Kenneth CHAN,CP,D
Dr LAM Tai-fai,IND,E
Dr LAU Wong-fat,ES,E
Dr LEUNG Ka-lau,IND,D
Dr Priscilla LEUNG,PF,E
Emily LAU,DP,D
Frankie YICK,LIB,E
Frederick FUNG,ADPL,D
Gary FAN,ND,D
IP Kin-yuen,PTU,D
IP Kwok-him,DAB,E
Ir Dr LO Wai-kwok,BPA,E
James TIEN,LIB,E
James TO,DP,D
Jeffrey LAM,ES,E
KWOK Wai-keung,FTU,E
Kenneth LEUNG,PC,D
LEE Cheuk-yan,LAB,D
LEUNG Che-cheung,DAB,E
LEUNG Kwok-hung,LSD,D
LEUNG Yiu-chung,NWSC,D
MA Fung-kwok,NF,E
Martin LIAO,IND,E
Michael TIEN,NPP,E
Mrs Regina IP,NPP,E
NG Leung-sing,IND,E
POON Siu-ping,FLU,E
Paul TSE,IND,E
Prof Joseph LEE,IND,D
Ronny TONG,CP,D
SIN Chung-kai,DP,D
Starry LEE,DAB,E
Steven HO,DAB,E
TAM Yiu-chung,DAB,E
TANG Ka-piu,FTU,E
TSANG Yok-sing,DAB,E
Tommy CHEUNG,LIB,E
Tony TSE,IND,E
Vincent FANG,LIB,E
WONG Kwok-hing,FTU,E
WONG Kwok-kin,FTU,E
WONG Ting-kwong,DAB,E
WONG Yuk-man,IND,D
WU Chi-wai,DP,D
YIU Si-wing,IND,E
